sample,test_size,alpha,actual_prop,pred_prop,abs_error,acc,f_score,thr,acc2,thr2,quantifier,model,pt
4,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,SORD,resnet50,0
4,10,0.0,0.0,0.02,0.02,0.9,0.0,0.023199081420898438,1.0,0.5,MS2,resnet50,0
4,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,EMQ,resnet50,0
4,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,FM,resnet50,0
4,10,0.0,0.0,-0.0,0.0,1.0,0.0,0.5,1.0,0.5,FMM,resnet50,0
4,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,SMM,resnet50,0
5,10,0.0,0.0,0.1,0.1,0.9,0.0,0.5,0.9,0.5,CC,resnet50,0
5,10,0.0,0.0,0.08,0.08,1.0,0.0,0.7017002105712891,0.9,0.5,ACC,resnet50,0
5,10,0.0,0.0,0.09,0.09,1.0,0.0,0.7017002105712891,0.9,0.5,X,resnet50,0
5,10,0.0,0.0,0.09,0.09,1.0,0.0,0.7017002105712891,0.9,0.5,MAX,resnet50,0
5,10,0.0,0.0,0.0,0.0,1.0,0.0,0.75,1.0,0.75,T50,resnet50,0
5,10,0.0,0.0,0.07,0.07,1.0,0.0,0.7017002105712891,0.9,0.5,MS,resnet50,0
5,10,0.0,0.0,0.01,0.01,1.0,0.0,0.7017002105712891,1.0,0.75,DyS,resnet50,0
5,10,0.0,0.0,0.01,0.01,1.0,0.0,0.7017002105712891,1.0,0.75,HDy,resnet50,0
5,10,0.0,0.0,0.08,0.08,1.0,0.0,0.7017002105712891,0.9,0.5,SORD,resnet50,0
5,10,0.0,0.0,0.07,0.07,1.0,0.0,0.7017002105712891,0.9,0.5,MS2,resnet50,0
5,10,0.0,0.0,0.0,0.0,1.0,0.0,0.75,1.0,0.75,EMQ,resnet50,0
5,10,0.0,0.0,0.09,0.09,1.0,0.0,0.7017002105712891,0.9,0.5,FM,resnet50,0
5,10,0.0,0.0,0.07,0.07,1.0,0.0,0.7017002105712891,0.9,0.5,FMM,resnet50,0
5,10,0.0,0.0,0.05,0.05,1.0,0.0,0.7017002105712891,0.9,0.5,SMM,resnet50,0
6,10,0.0,0.0,0.1,0.1,0.9,0.0,0.5,0.9,0.5,CC,resnet50,0
6,10,0.0,0.0,0.08,0.08,1.0,0.0,0.9838008880615234,0.9,0.5,ACC,resnet50,0
6,10,0.0,0.0,0.09,0.09,1.0,0.0,0.9838008880615234,0.9,0.5,X,resnet50,0
6,10,0.0,0.0,0.09,0.09,1.0,0.0,0.9838008880615234,0.9,0.5,MAX,resnet50,0
6,10,0.0,0.0,0.0,0.0,1.0,0.0,0.984375,1.0,0.984375,T50,resnet50,0
6,10,0.0,0.0,0.08,0.08,1.0,0.0,0.9838008880615234,0.9,0.5,MS,resnet50,0
6,10,0.0,0.0,0.11,0.11,0.9,0.0,0.5,0.9,0.5,DyS,resnet50,0
6,10,0.0,0.0,0.11,0.11,0.9,0.0,0.5,0.9,0.5,HDy,resnet50,0
6,10,0.0,0.0,0.09,0.09,1.0,0.0,0.9838008880615234,0.9,0.5,SORD,resnet50,0
6,10,0.0,0.0,0.08,0.08,1.0,0.0,0.9838008880615234,0.9,0.5,MS2,resnet50,0
6,10,0.0,0.0,0.09,0.09,1.0,0.0,0.9838008880615234,0.9,0.5,EMQ,resnet50,0
6,10,0.0,0.0,0.09,0.09,1.0,0.0,0.9838008880615234,0.9,0.5,FM,resnet50,0
6,10,0.0,0.0,0.09,0.09,1.0,0.0,0.9838008880615234,0.9,0.5,FMM,resnet50,0
6,10,0.0,0.0,0.08,0.08,1.0,0.0,0.9838008880615234,0.9,0.5,SMM,resnet50,0
7,10,0.0,0.0,0.1,0.1,0.9,0.0,0.5,0.9,0.5,CC,resnet50,0
7,10,0.0,0.0,0.08,0.08,1.0,0.0,0.6854000091552734,0.9,0.5,ACC,resnet50,0
7,10,0.0,0.0,0.09,0.09,1.0,0.0,0.6854000091552734,0.9,0.5,X,resnet50,0
7,10,0.0,0.0,0.09,0.09,1.0,0.0,0.6854000091552734,0.9,0.5,MAX,resnet50,0
7,10,0.0,0.0,0.0,0.0,1.0,0.0,0.75,1.0,0.75,T50,resnet50,0
7,10,0.0,0.0,0.08,0.08,1.0,0.0,0.6854000091552734,0.9,0.5,MS,resnet50,0
7,10,0.0,0.0,0.01,0.01,1.0,0.0,0.6854000091552734,1.0,0.75,DyS,resnet50,0
7,10,0.0,0.0,0.01,0.01,1.0,0.0,0.6854000091552734,1.0,0.75,HDy,resnet50,0
7,10,0.0,0.0,0.09,0.09,1.0,0.0,0.6854000091552734,0.9,0.5,SORD,resnet50,0
7,10,0.0,0.0,0.08,0.08,1.0,0.0,0.6854000091552734,0.9,0.5,MS2,resnet50,0
7,10,0.0,0.0,0.0,0.0,1.0,0.0,0.75,1.0,0.75,EMQ,resnet50,0
7,10,0.0,0.0,0.09,0.09,1.0,0.0,0.6854000091552734,0.9,0.5,FM,resnet50,0
7,10,0.0,0.0,0.09,0.09,1.0,0.0,0.6854000091552734,0.9,0.5,FMM,resnet50,0
7,10,0.0,0.0,0.13,0.13,0.8,0.0,0.2718982696533203,0.9,0.5,SMM,resnet50,0
8,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,CC,resnet50,0
