sample,test_size,alpha,actual_prop,pred_prop,abs_error,acc,f_score,thr,acc2,thr2,quantifier,model,pt
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,CC,vgg16,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,ACC,vgg16,1
1,10,0.0,0.0,0.07,0.07,0.9,0.0,0.08389854431152344,0.9,0.0625,X,vgg16,1
1,10,0.0,0.0,0.01,0.01,0.9,0.0,0.08389854431152344,1.0,0.5,MAX,vgg16,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,T50,vgg16,1
1,10,0.0,0.0,0.03,0.03,0.9,0.0,0.08389854431152344,1.0,0.5,MS,vgg16,1
1,10,0.0,0.0,0.01,0.01,0.9,0.0,0.08389854431152344,1.0,0.5,DyS,vgg16,1
1,10,0.0,0.0,0.01,0.01,0.9,0.0,0.08389854431152344,1.0,0.5,HDy,vgg16,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,SORD,vgg16,1
1,10,0.0,0.0,0.03,0.03,0.9,0.0,0.08389854431152344,1.0,0.5,MS2,vgg16,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,EMQ,vgg16,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,FM,vgg16,1
1,10,0.0,0.0,-0.0,0.0,1.0,0.0,0.5,1.0,0.5,FMM,vgg16,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,SMM,vgg16,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,CC,vgg16,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,ACC,vgg16,1
2,10,0.0,0.0,0.07,0.07,1.0,0.0,0.010900497436523438,0.9,0.0078125,X,vgg16,1
2,10,0.0,0.0,0.01,0.01,1.0,0.0,0.010900497436523438,1.0,0.5,MAX,vgg16,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,T50,vgg16,1
2,10,0.0,0.0,0.03,0.03,1.0,0.0,0.010900497436523438,1.0,0.5,MS,vgg16,1
2,10,0.0,0.0,0.01,0.01,1.0,0.0,0.010900497436523438,1.0,0.5,DyS,vgg16,1
2,10,0.0,0.0,0.01,0.01,1.0,0.0,0.010900497436523438,1.0,0.5,HDy,vgg16,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,SORD,vgg16,1
2,10,0.0,0.0,0.03,0.03,1.0,0.0,0.010900497436523438,1.0,0.5,MS2,vgg16,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,EMQ,vgg16,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,FM,vgg16,1
2,10,0.0,0.0,-0.0,0.0,1.0,0.0,0.5,1.0,0.5,FMM,vgg16,1
